catalog_id,catalog_name,city,source_department,resource_type,service_id,service_name,service_desc,context,input_param,output_param,update_time_ms,status
6bca3e65b54149bc90e4f1a4417c980f,威海市海洋生产总值（分区市）信息,威海,威海市海洋发展局,api,2fd3663de1c24eeabf3a2340a62248cc,威海市海洋生产总值（分区市）分页查询服务,威海市海洋生产总值（分区市）分页查询服务,/cataLog_6bca3e65b54149bc90e4f1a4417c980f/get_datalist_page,"[{""name"":""SIZE"",""position"":""query"",""desc"":"""",""value"":""10"",""type"":""number"",""status"":""required""},{""name"":""START"",""position"":""query"",""desc"":"""",""value"":""1"",""type"":""number"",""status"":""required""}]",[],1751435703000,4
6bca3e65b54149bc90e4f1a4417c980f,威海市海洋生产总值（分区市）信息,威海,威海市海洋发展局,api,9ef580fb2a17451b9aa8727da660fabc,威海市海洋生产总值（分区市）数据量查询服务,威海市海洋生产总值（分区市）数据量查询服务,/cataLog_6bca3e65b54149bc90e4f1a4417c980f/get_data_count,[],"[{""name"":""COUNT"",""desc"":""数据量""}]",1751435106000,4
a134c04cda564f4bab096b3e1b4fa9c4,远洋捕捞渔船信息,威海,威海市海洋发展局,api,7434c8db6af84b419340a8c05ded1631,威海市远洋捕捞渔船分页查询服务,威海市远洋捕捞渔船分页查询服务,/cataLog_a134c04cda564f4bab096b3e1b4fa9c4/get_datalist_page,"[{""name"":""PAGENUM"",""position"":""query"",""desc"":"""",""value"":""10"",""type"":""number"",""status"":""required""},{""name"":""PAGE"",""position"":""query"",""desc"":"""",""value"":""1"",""type"":""number"",""status"":""required""}]",[],1648457979000,4
a134c04cda564f4bab096b3e1b4fa9c4,远洋捕捞渔船信息,威海,威海市海洋发展局,api,a6dd78a655234b2bbfa54c4972de4f99,威海市远洋捕捞渔船数据量查询服务,威海市远洋捕捞渔船数据量查询服务,/cataLog_a134c04cda564f4bab096b3e1b4fa9c4/get_data_count,[],[],1683253316000,4
4ce717c4712d4e61a017dbc0070b3058,烟台市统计年鉴_沿海主要港口货物吞吐量,烟台,烟台市统计局,api,bd4ec384ee01416cb68640d101f27dd7,开放接口_统计年鉴_沿海主要港口货物吞吐量_分页查询服务,开放接口_统计年鉴_沿海主要港口货物吞吐量_分页查询服务,/kfj0418jk118,"[{""name"":""apikey"",""type"":""string"",""status"":""constant"",""position"":""header"",""description"":""apikey"",""value"":""924949448860106752""},{""name"":""ROWNUM"",""type"":""string"",""status"":""required"",""position"":""query"",""description"":""页码"",""value"":""""},{""name"":""PAGESIZE"",""type"":""string"",""status"":""required"",""position"":""query"",""description"":""每页显示条数"",""value"":""""}]",,1768204333000,4
e5682c20764444aabcb121941b37581d,荣成市国内渔船检验证书核发信息,威海,荣成市,api,5bfc106db6634f589dc708c12c7f61dd,国内渔船检验证书核发信息数据量查询服务,国内渔船检验证书核发信息数据量查询服务,/cataLog_e5682c20764444aabcb121941b37581d/get_data_count,[],"[{""name"":""COUNT"",""desc"":""数据量""}]",1648457980000,4
e5682c20764444aabcb121941b37581d,荣成市国内渔船检验证书核发信息,威海,荣成市,api,b0ce6f5e1567451fa18be900be94d42b,国内渔船检验证书核发信息分页查询服务,国内渔船检验证书核发信息分页查询服务,/cataLog_e5682c20764444aabcb121941b37581d/get_datalist_page,"[{""name"":""SIZE"",""position"":""query"",""desc"":"""",""value"":""10"",""type"":""number"",""status"":""required""},{""name"":""START"",""position"":""query"",""desc"":"""",""value"":""1"",""type"":""number"",""status"":""required""}]",[],1648457980000,4
78613881491d48d69231fa1b7ecc675d,威海市车载设备监测区县PM浓度信息,威海,威海市生态环境局,api,8360f8a7d9d749e48fd65d96ac2badad,威海市车载设备监测区县PM2.5、PM10浓度日数据数据量查询服务,威海市车载设备监测区县PM2.5、PM10浓度日数据数据量查询服务,/cataLog_78613881491d48d69231fa1b7ecc675d/get_data_count,[],"[{""name"":""COUNT"",""desc"":""数据量""}]",1671423170000,4
78613881491d48d69231fa1b7ecc675d,威海市车载设备监测区县PM浓度信息,威海,威海市生态环境局,api,ca6a5ff78f174ae4aeca2cd0479abc90,威海市车载设备监测区县PM2.5、PM10浓度日数据分页查询服务,威海市车载设备监测区县PM2.5、PM10浓度日数据分页查询服务,/cataLog_78613881491d48d69231fa1b7ecc675d/get_datalist_page,"[{""name"":""SIZE"",""position"":""query"",""desc"":"""",""value"":""10"",""type"":""number"",""status"":""required""},{""name"":""START"",""position"":""query"",""desc"":"""",""value"":""1"",""type"":""number"",""status"":""required""}]",[],1671423170000,4
39df846dd67b480083ecd45b081356b2,威海市排污许可证清单信息,威海,威海市生态环境局,api,0e745e94edab409fb58ae2f7a9011816,威海市排污许可证信息查询,威海市排污许可证信息查询,/whspwxkzxxcx,"[{""name"":""name"",""type"":""string"",""status"":""required"",""position"":""query"",""description"":""名称"",""value"":""名称""}]","[{""column_name_en"":""xylb""},{""column_name_en"":""fzsj""},{""column_name_en"":""yxq""},{""column_name_en"":""xkzbh""},{""column_name_en"":""xh""},{""column_name_en"":""gllb""},{""column_name_en"":""pwdwmc""}]",1671680448000,4
